id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
tm237621,The Figurine (Araromire),MOVIE,"Two buddies and a girl, down on their luck, have their lives changed when one of them discovers a mysterious figurine in an abandoned shrine which, according to legend, bestows seven years of good luck. But no one told them about the next seven years...",2009,PG-13,122,horror thriller,NG,0.0,4.4,243.0,2.064,4.3,Ramsey Nouah,"horror thriller Two buddies and a girl, down on their luck, have their lives changed when one of them discovers a mysterious figurine in an abandoned shrine which, according to legend, bestows seven years of good luck. But no one told them about the next seven years... NG MOVIE PG-13 Ramsey Nouah"
tm104349,The Unjust,MOVIE,An honest cop has to compromise with his principles when he is told to find a scapegoat for a high-profile serial killer case in exchange for a big promotion.,2010,NR,119,thriller drama action crime,KR,0.0,6.6,2139.0,5.501,6.4,Hwang Jung-min,thriller drama action crime An honest cop has to compromise with his principles when he is told to find a scapegoat for a high-profile serial killer case in exchange for a big promotion. KR MOVIE NR Hwang Jung-min
tm152724,Kurbaan,MOVIE,"When a handsome young Indian couple (Saif Ali Khan and Kareena Kapoor) moves into the suburbs to claim their stake in the American dream, they are shocked to discover that they've become enmeshed in a secretive terrorist plot. But as tensions escalate, the bride begins to wonder if her husband has told her everything he knows.",2009,R,161,thriller action crime drama romance sport,IN,0.0,5.7,5121.0,2.969,4.6,Saif Ali Khan,"thriller action crime drama romance sport When a handsome young Indian couple (Saif Ali Khan and Kareena Kapoor) moves into the suburbs to claim their stake in the American dream, they are shocked to discover that they've become enmeshed in a secretive terrorist plot. But as tensions escalate, the bride begins to wonder if her husband has told her everything he knows. IN MOVIE R Saif Ali Khan"
tm69694,Can’T Complain,MOVIE,A comedy about a triplet brothers but with only one birth certificate.,2007,NR,113,thriller crime romance comedy drama,EG,0.0,7.5,3922.0,2.624,6.5,Ahmed Helmy,thriller crime romance comedy drama A comedy about a triplet brothers but with only one birth certificate. EG MOVIE NR Ahmed Helmy
tm105278,Inuyasha The Movie 2: The Castle Beyond The Looking Glass,MOVIE,"With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace.",2002,PG-13,100,animation fantasy action romance comedy,JP,0.0,7.3,2127.0,31.534,7.6,Kappei Yamaguchi,"animation fantasy action romance comedy With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace. JP MOVIE PG-13 Kappei Yamaguchi"
tm80487,Spookley The Square Pumpkin,MOVIE,"Dare to be square! In a world where ""The only good pumpkins are round pumpkins!"" SPOOKLEY THE SQUARE PUMPKIN is often teased by the other pumpkins because of his odd shape. Soon, Spookley is befriended by Edgar, Allan and Poe, three hilarious spiders, who convince Spookley that square or not, he has a right to be the ""Pick of the Patch"" on Halloween. ""A square pumpkin the Pick of the Patch?"" Not if mean round pumpkins Big Tom and Little Tom can help it. These two bullies tease and taunt Spookley because of his square roots. Encouraged to continue to become the ""Pick of the Patch"" by kindly Jack the Scarecrow and his bat sidekicks, Boris and Bella, Spookley isn't sure he has what it takes until a mighty storm threatens to destroy the entire patch. As the storm rolls the round pumpkins uncontrollably across the patch towards the raging river, Spookley realizes ""it's fine to be round while the weather is fair, but there are times it's better to be a square!""",2004,G,47,family animation,US,0.0,6.53,24675.55,3.355,4.6,Sonja Ball,"family animation Dare to be square! In a world where ""The only good pumpkins are round pumpkins!"" SPOOKLEY THE SQUARE PUMPKIN is often teased by the other pumpkins because of his odd shape. Soon, Spookley is befriended by Edgar, Allan and Poe, three hilarious spiders, who convince Spookley that square or not, he has a right to be the ""Pick of the Patch"" on Halloween. ""A square pumpkin the Pick of the Patch?"" Not if mean round pumpkins Big Tom and Little Tom can help it. These two bullies tease and taunt Spookley because of his square roots. Encouraged to continue to become the ""Pick of the Patch"" by kindly Jack the Scarecrow and his bat sidekicks, Boris and Bella, Spookley isn't sure he has what it takes until a mighty storm threatens to destroy the entire patch. As the storm rolls the round pumpkins uncontrollably across the patch towards the raging river, Spookley realizes ""it's fine to be round while the weather is fair, but there are times it's better to be a square!"" US MOVIE G Sonja Ball"
tm33729,Taxi No. 9 2 11,MOVIE,A cabbie and businessman both in need of big money partake in a two-hour adventure together.,2006,NR,116,drama thriller comedy,IN,0.0,7.2,9897.0,4.558,6.4,John Abraham,drama thriller comedy A cabbie and businessman both in need of big money partake in a two-hour adventure together. IN MOVIE NR John Abraham
tm129763,Anbe Sivam,MOVIE,Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life.,2003,NR,160,comedy drama,IN,0.0,8.7,20595.0,5.861,7.5,Kamal Haasan,comedy drama Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life. IN MOVIE NR Kamal Haasan
tm130301,Gangaajal,MOVIE,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.",2003,NR,157,drama crime action,IN,0.0,7.8,17029.0,3.218,6.3,Ajay Devgn,"drama crime action Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians. IN MOVIE NR Ajay Devgn"
tm141117,Chalte Chalte,MOVIE,A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,2003,PG-13,175,comedy drama romance,IN,0.0,6.5,15379.0,9.044,6.2,Shah Rukh Khan,comedy drama romance A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever. IN MOVIE PG-13 Shah Rukh Khan
tm35652,Mumbai Meri Jaan,MOVIE,"Shortly after 1800 hours, 11 July 2006, Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga, Mahim, Khar, Bandra, Jogeshwari, Borivali, and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas, originally from Chennai, who sells tea from his bike; Rupali Joshi, a TV News reporter, who has to deal with the death of her to-be spouse, Ajay Kumar Pradhan; Suresh, in debt, starts to suspect all Muslims, especially Yusuf; Inspector Tukaram Patil, about to retire, goes about collecting bribes as usual, much to the chagrin of his embittered, honest and soon to-be suspended subordinate, Sunil Kadam; while Nikhil Agarwal, a Nationalist and environmentalist, debates whether he should re-locate to the United States, along with his pregnant wife, Sejal.",2008,PG-13,119,drama,IN,0.0,7.7,6309.0,2.442,6.9,R. Madhavan,"drama Shortly after 1800 hours, 11 July 2006, Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga, Mahim, Khar, Bandra, Jogeshwari, Borivali, and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas, originally from Chennai, who sells tea from his bike; Rupali Joshi, a TV News reporter, who has to deal with the death of her to-be spouse, Ajay Kumar Pradhan; Suresh, in debt, starts to suspect all Muslims, especially Yusuf; Inspector Tukaram Patil, about to retire, goes about collecting bribes as usual, much to the chagrin of his embittered, honest and soon to-be suspended subordinate, Sunil Kadam; while Nikhil Agarwal, a Nationalist and environmentalist, debates whether he should re-locate to the United States, along with his pregnant wife, Sejal. IN MOVIE PG-13 R. Madhavan"
tm49865,Aamir,MOVIE,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.,2008,NC-17,99,thriller action crime drama,IN,0.0,7.6,11241.0,4.538,6.9,Rajeev Khandelwal,thriller action crime drama A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot. IN MOVIE NC-17 Rajeev Khandelwal
tm254745,Frontiers Of Dreams And Fears,MOVIE,"This heartfelt documentary from award-winning filmmaker Mai Masri explores the enduring friendship that evolves between two Palestinian girls—Mona, who was born and raised in the economically marginalized Shatila refugee camp in Beirut, and Manar, who lives in the Dheisha refugee camp under Israeli control.  The two girls begin their friendship as penpals, sharing the similarities and differences of life in the two refugee camps. Mona and Manar are finally able to meet face-to-face at the Lebanese-Israeli border during Israel's withdrawal from South Lebanon. But when the second intifada suddenly erupts around them shortly thereafter, both girls must face heart-breaking changes in their lives.",2001,NR,56,documentation history,PS,0.0,8.3,54.0,0.645,6.79,Manar Faraj,"documentation history This heartfelt documentary from award-winning filmmaker Mai Masri explores the enduring friendship that evolves between two Palestinian girls—Mona, who was born and raised in the economically marginalized Shatila refugee camp in Beirut, and Manar, who lives in the Dheisha refugee camp under Israeli control.  The two girls begin their friendship as penpals, sharing the similarities and differences of life in the two refugee camps. Mona and Manar are finally able to meet face-to-face at the Lebanese-Israeli border during Israel's withdrawal from South Lebanon. But when the second intifada suddenly erupts around them shortly thereafter, both girls must face heart-breaking changes in their lives. PS MOVIE NR Manar Faraj"
tm134140,Ishq Vishk,MOVIE,"Rajiv Mathur decides to go conditionally steady with fellow collegian, Payal, so that be can be permitted to go on an outing. Payal accepts, and accompanies him. During the outing, he gets intoxicated, and attempts to molest her, and she decides to dump him. Thereafter, slighted but not beaten - Rajiv turns on his charms on another beauty - the gorgeous Alisha Sahay. But will she be as permissible as Payal?",2003,NR,145,drama comedy romance,IN,0.0,6.1,4203.0,1.569,5.8,Shahid Kapoor,"drama comedy romance Rajiv Mathur decides to go conditionally steady with fellow collegian, Payal, so that be can be permitted to go on an outing. Payal accepts, and accompanies him. During the outing, he gets intoxicated, and attempts to molest her, and she decides to dump him. Thereafter, slighted but not beaten - Rajiv turns on his charms on another beauty - the gorgeous Alisha Sahay. But will she be as permissible as Payal? IN MOVIE NR Shahid Kapoor"
tm114504,The Legend Of Bhagat Singh,MOVIE,"Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country.",2002,NR,155,drama history action,IN,0.0,8.1,16225.0,4.417,6.9,Ajay Devgn,"drama history action Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country. IN MOVIE NR Ajay Devgn"
tm76029,Under The Bombs,MOVIE,"In the wake of Israel's 2006 bombardment of Lebanon, a determined woman finds her way into the country convincing a taxi driver to take a risky journey around the scarred region in search of her sister and her son.",2007,NR,98,romance drama european war,GB FR LB,0.0,7.0,1641.0,1.244,6.4,Nada Abou Farhat,"romance drama european war In the wake of Israel's 2006 bombardment of Lebanon, a determined woman finds her way into the country convincing a taxi driver to take a risky journey around the scarred region in search of her sister and her son. GB FR LB MOVIE NR Nada Abou Farhat"
tm33067,Race,MOVIE,"Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant Mini",2008,PG-13,161,drama action thriller crime comedy,IN,0.0,6.9,63.0,5.615,6.1,Saif Ali Khan,"drama action thriller crime comedy Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant Mini IN MOVIE PG-13 Saif Ali Khan"
tm103732,Udaan,MOVIE,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",2010,R,138,drama,IN,0.0,8.1,44556.0,6.118,7.3,Ronit Roy,"drama Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future. IN MOVIE R Ronit Roy"
tm98475,We Are Family,MOVIE,"Maya is the perfect mother. Her life revolves around her three children, Aleya, Ankush, and Anjali. Who thinks nothing much then the world of her. Despite being divorced from her husband, Aman. Maya has ensured that everything runs smoothly in her house, under her watch, and that they continue to remain a happy family unit. However, when Aman introduces his girlfriend, Shreya a career oriented woman, who has a lot to learn about children's, to the family, the situation immediately takes an unexpected turn. When an incident changes their lives drastically, bringing the two women under the same roof, they find themselves putting to test an unusual situation; can two mothers make a home?",2010,PG,115,drama comedy family,IN,0.0,5.6,3140.0,1.721,5.9,Arjun Rampal,"drama comedy family Maya is the perfect mother. Her life revolves around her three children, Aleya, Ankush, and Anjali. Who thinks nothing much then the world of her. Despite being divorced from her husband, Aman. Maya has ensured that everything runs smoothly in her house, under her watch, and that they continue to remain a happy family unit. However, when Aman introduces his girlfriend, Shreya a career oriented woman, who has a lot to learn about children's, to the family, the situation immediately takes an unexpected turn. When an incident changes their lives drastically, bringing the two women under the same roof, they find themselves putting to test an unusual situation; can two mothers make a home? IN MOVIE PG Arjun Rampal"
tm34924,The Beast Stalker,MOVIE,"Sergeant Tong is wracked with guilt after he unwittingly kills a young girl whilst capuring a criminal named Cheung. When the girl's sister is later kidnapped in a ploy to get Cheung released, Sergeant Tong vows to find and rescue her before she comes to harm.",2008,NR,109,thriller action,HK,0.0,6.8,2191.0,5.847,6.7,Nicholas Tse,"thriller action Sergeant Tong is wracked with guilt after he unwittingly kills a young girl whilst capuring a criminal named Cheung. When the girl's sister is later kidnapped in a ploy to get Cheung released, Sergeant Tong vows to find and rescue her before she comes to harm. HK MOVIE NR Nicholas Tse"
tm101609,Raajneeti,MOVIE,"It is the story of a fiercely fought election campaign, where money power and corruption are the accepted norms, and where treachery and manipulation are routinely used weapons. As the personal drama of these conflict-ridden characters unfolds against this gritty backdrop, love and friendship become mere baits, and relationships get sacrificed at the altar of political alignments. The darkness that rises from their souls threatens to envelope all that they hold precious. Until eventually, in the crescendo of increasing violence, the line between good and evil blurs, making it impossible to distinguish heroes from villains. Raajneeti is the story of Indian democracy. And its ugly underside. It is about politics. And beyond.",2010,PG,167,drama thriller crime,IN,0.0,7.1,17555.0,4.779,6.2,Ajay Devgn,"drama thriller crime It is the story of a fiercely fought election campaign, where money power and corruption are the accepted norms, and where treachery and manipulation are routinely used weapons. As the personal drama of these conflict-ridden characters unfolds against this gritty backdrop, love and friendship become mere baits, and relationships get sacrificed at the altar of political alignments. The darkness that rises from their souls threatens to envelope all that they hold precious. Until eventually, in the crescendo of increasing violence, the line between good and evil blurs, making it impossible to distinguish heroes from villains. Raajneeti is the story of Indian democracy. And its ugly underside. It is about politics. And beyond. IN MOVIE PG Ajay Devgn"
ts98316,Edge Of The Universe,SHOW,"Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.",2002,TV-G,49,documentation,GB,1.0,7.2,206.0,0.6,6.79,John Hurt,"documentation Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos. GB SHOW TV-G John Hurt"
tm216753,Old Thieves: The Legend Of Artegio,MOVIE,"Is the story of a generation of thieves who achieved their greatest victories in the sixties; their distinctive code of ethics, the various categories of delinquents inhabiting the citys streets, their alliances with high ranking police officials that allowed them to operate, the betrayals that followed, and the price they ended up paying.",2007,NR,97,documentation crime,MX,0.0,8.0,314.0,2.224,7.4,Everardo González,"documentation crime Is the story of a generation of thieves who achieved their greatest victories in the sixties; their distinctive code of ethics, the various categories of delinquents inhabiting the citys streets, their alliances with high ranking police officials that allowed them to operate, the betrayals that followed, and the price they ended up paying. MX MOVIE NR Everardo González"
tm112235,Kannathil Muthamittal,MOVIE,"A little girl is told by her parents that she is adopted. Determined to find her birth mother, her family eventually agrees to take her to Sri Lanka, where they are abducted by the terrorist group known as the Tamil Tigers.",2002,NR,137,drama war action,IN,0.0,8.4,8376.0,3.108,7.3,R. Madhavan,"drama war action A little girl is told by her parents that she is adopted. Determined to find her birth mother, her family eventually agrees to take her to Sri Lanka, where they are abducted by the terrorist group known as the Tamil Tigers. IN MOVIE NR R. Madhavan"
tm101540,Well Done Abba,MOVIE,"This is the story of Armaan Ali, a driver working for a senior executive in Mumbai. He takes a month's leave to find a husband for his teenage daughter, who lives near Hyderabad. When he is delayed and returns to work after three months, his employer threatens to sack him. But he is persuaded to listen to the reason for Armaan Ali's delay. The story he relates is delightful, hilarious -- and poignant.",2010,NR,144,comedy,IN,0.0,7.2,1876.0,1.267,5.3,Boman Irani,"comedy This is the story of Armaan Ali, a driver working for a senior executive in Mumbai. He takes a month's leave to find a husband for his teenage daughter, who lives near Hyderabad. When he is delayed and returns to work after three months, his employer threatens to sack him. But he is persuaded to listen to the reason for Armaan Ali's delay. The story he relates is delightful, hilarious -- and poignant. IN MOVIE NR Boman Irani"
tm96052,Palermo Hollywood,MOVIE,"In a country that has been broken down and corupted by poverty, Pablo and Mario are best friends and local thieves. Although they come from very different backgrounds, they help each other out by commiting petty crimes that help Pablo support his family and Mario become independent from his own. In a twist of fate, they become involved in a kidnapping that goes sour. This tragedy triggers and unmasks a series of events that changes their lives forever. Now the two friends will be tested and their lives taken to the limit.",2004,NR,113,drama,AR,0.0,5.2,200.0,1.262,5.3,Brian Maya,"drama In a country that has been broken down and corupted by poverty, Pablo and Mario are best friends and local thieves. Although they come from very different backgrounds, they help each other out by commiting petty crimes that help Pablo support his family and Mario become independent from his own. In a twist of fate, they become involved in a kidnapping that goes sour. This tragedy triggers and unmasks a series of events that changes their lives forever. Now the two friends will be tested and their lives taken to the limit. AR MOVIE NR Brian Maya"
tm134407,Dev.D,MOVIE,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",2009,PG-13,144,drama romance comedy,IN,0.0,7.9,30389.0,5.614,6.9,Abhay Deol,"drama romance comedy Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths. IN MOVIE PG-13 Abhay Deol"
tm81864,Twins Mission,MOVIE,"When a precious Tibetan bead is stolen by rogue members of the mysterious Gemini Clan, the protectors of the bead enlist the help of some righteous former Gemini Clan members to retrieve the bead and bring the evil disciples to justice.",2007,NR,103,action drama comedy crime,HK,0.0,5.2,686.0,6.371,4.9,Charlene Choi,"action drama comedy crime When a precious Tibetan bead is stolen by rogue members of the mysterious Gemini Clan, the protectors of the bead enlist the help of some righteous former Gemini Clan members to retrieve the bead and bring the evil disciples to justice. HK MOVIE NR Charlene Choi"
tm346951,What'S Up?,MOVIE,The film is a comedy-drama that recounts the story of a family torn between modernity and tradition in Saudi Arabia.,2006,NR,95,drama comedy,SA,0.0,2.9,315.0,0.895,2.0,Hisham Abdulrahman,drama comedy The film is a comedy-drama that recounts the story of a family torn between modernity and tradition in Saudi Arabia. SA MOVIE NR Hisham Abdulrahman
tm144263,Aagey Se Right,MOVIE,"Aage Se Right is the story of chance, co-incidence and real life humor based in the present day Mumbai. The film spans over five days of panic, chaos and mayhem!!!",2009,G,117,comedy crime drama,IN,0.0,5.2,406.0,1.87,5.0,Shreyas Talpade,"comedy crime drama Aage Se Right is the story of chance, co-incidence and real life humor based in the present day Mumbai. The film spans over five days of panic, chaos and mayhem!!! IN MOVIE G Shreyas Talpade"
ts124246,Mighty Raju,SHOW,A four-year-old Raju receives super human strength when his then pregnant mother accidentally consumes a compound created by his scientist father.,2010,NR,20,animation action,IN,4.0,4.2,57.0,1.484,6.79,Anamaya Verma,animation action A four-year-old Raju receives super human strength when his then pregnant mother accidentally consumes a compound created by his scientist father. IN SHOW NR Anamaya Verma
tm85689,Krishna Cottage,MOVIE,A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.,2004,NR,124,thriller drama horror,IN,0.0,5.1,1153.0,2.405,5.5,Sohail Khan,thriller drama horror A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit. IN MOVIE NR Sohail Khan
ts12444,The Fierce Wife,SHOW,"The Fierce Wife, or The Shrewd Wife in Singapore, is a 2010 Taiwanese drama starring Sonia Sui, Wen Sheng Hao, Chris Wang and Amanda Zhu. It was a TTV and Sanlih E-Television co-presentation, and was directed by Xu Fu Jun. The filming started in October 2010, and was first broadcast on 5 November 2010. It’s been on the air ever since.

Before The Fierce Wife was produced, both Sonia Sui and Wen Sheng Hao had acted in two TTV productions, The Year of Happiness and Love and PS Man. The Fierce Wife, The Year of Happiness and Love, and PS Man all feature youth idol.

On 9 June 2011, The Fierce Wife, described as “the most talked about TV show in Taiwan,” entered the Japanese market, renamed Does Marriage Guarantee Happiness. It was broadcast on BS Nittele in Chinese with Japanese subtitles, every Thursday at 2300 in high definition, six times as high as in Taiwan. The whole TV series was divided into 34 episodes in Japan, and the DVDs in both Chinese and Japanese went on sale on 20 June 2012.

The TV series was a big hit in 2011. “Xiaosan” or “Little Third”, “the other woman” in the story, has become a popular euphemism thanks to the show. Also, merchandise has sold well in Taiwan and abroad. The popular drama was nominated for a number of Golden Bell Awards. Some controversial parts of the story received heated discussion, and the producer Wang Pei Hua decided to make it into a feature movie set four years after the main female character Xie An Zhen get divorced. A press conference to announce the film adaptation The Fierce Wife: The Final Episode, was held on 20 January 2012. The film was released on 17 August 2012.",2010,TV-MA,59,drama,TW,1.0,6.8,90.0,4.571,5.3,Sonia Sui,"drama The Fierce Wife, or The Shrewd Wife in Singapore, is a 2010 Taiwanese drama starring Sonia Sui, Wen Sheng Hao, Chris Wang and Amanda Zhu. It was a TTV and Sanlih E-Television co-presentation, and was directed by Xu Fu Jun. The filming started in October 2010, and was first broadcast on 5 November 2010. It’s been on the air ever since.

Before The Fierce Wife was produced, both Sonia Sui and Wen Sheng Hao had acted in two TTV productions, The Year of Happiness and Love and PS Man. The Fierce Wife, The Year of Happiness and Love, and PS Man all feature youth idol.

On 9 June 2011, The Fierce Wife, described as “the most talked about TV show in Taiwan,” entered the Japanese market, renamed Does Marriage Guarantee Happiness. It was broadcast on BS Nittele in Chinese with Japanese subtitles, every Thursday at 2300 in high definition, six times as high as in Taiwan. The whole TV series was divided into 34 episodes in Japan, and the DVDs in both Chinese and Japanese went on sale on 20 June 2012.

The TV series was a big hit in 2011. “Xiaosan” or “Little Third”, “the other woman” in the story, has become a popular euphemism thanks to the show. Also, merchandise has sold well in Taiwan and abroad. The popular drama was nominated for a number of Golden Bell Awards. Some controversial parts of the story received heated discussion, and the producer Wang Pei Hua decided to make it into a feature movie set four years after the main female character Xie An Zhen get divorced. A press conference to announce the film adaptation The Fierce Wife: The Final Episode, was held on 20 January 2012. The film was released on 17 August 2012. TW SHOW TV-MA Sonia Sui"
tm87909,Thomas & Friends: Thomas And The Jet Engine,MOVIE,"Gordon brags that he's the fastest engine, but gets a surprise when Thomas' cargo, a jet engine, is activated as it's loaded and causes him to shoot down the railway at higher speed than anything either has seen.",2004,G,67,animation,[],0.0,6.53,24675.55,2.456,8.0,Ian Cherry,"animation Gordon brags that he's the fastest engine, but gets a surprise when Thomas' cargo, a jet engine, is activated as it's loaded and causes him to shoot down the railway at higher speed than anything either has seen. [] MOVIE G Ian Cherry"
tm368679,Madness In The Desert,MOVIE,"The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal.",2004,NR,141,documentation,IN,0.0,8.4,373.0,1.951,7.0,Aamir Khan,"documentation The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal. IN MOVIE NR Aamir Khan"
tm897538,Let'S Dance,MOVIE,"A look into the problem of marital boredom through the story of the lawyer Salwa who finds a sanctuary in a dance studio. Dancing helps her handle the stress of her life with her husband Khaled, but she has to contend with Khaled's disapproval and her society's condemnation.",2006,NR,115,drama,EG,0.0,6.53,24675.55,0.872,5.0,Yousra,"drama A look into the problem of marital boredom through the story of the lawyer Salwa who finds a sanctuary in a dance studio. Dancing helps her handle the stress of her life with her husband Khaled, but she has to contend with Khaled's disapproval and her society's condemnation. EG MOVIE NR Yousra"
tm91323,I Hate Luv Storys,MOVIE,"Simran loves love stories, with her ideal job and perfect boyfriend, she lives a blissful and dreamy life. However, things are rudely interrupted by Jay's cynicism on sentimentality.",2010,PG,129,drama romance comedy,IN,0.0,5.6,7994.0,6.08,5.9,Imran Khan,"drama romance comedy Simran loves love stories, with her ideal job and perfect boyfriend, she lives a blissful and dreamy life. However, things are rudely interrupted by Jay's cynicism on sentimentality. IN MOVIE PG Imran Khan"
tm36636,C Kkompany,MOVIE,"Akshay Kumar is a crime reporter, Mr. Joshi is a retired accountant trying to deal with his ungrateful son and Lambodar are friends. These three share their respective plight with one another and find solace in each others company. On one occasion, they play a harmless prank to tackle their problems. One thing leads to another, and before they realize, the incident becomes news. But things don’t stop there. They put their new founded fame to good use, and this in turn triggers off a series of incidents, which propel them to such heights that the three become the talk of the nation. Things get beyond their control, and the three are left with no choice but to be mute spectators to their newly acquired fame, especially since no one knows their identity.",2008,NR,130,comedy drama thriller,IN,0.0,5.5,1115.0,2.021,5.7,Tusshar Kapoor,"comedy drama thriller Akshay Kumar is a crime reporter, Mr. Joshi is a retired accountant trying to deal with his ungrateful son and Lambodar are friends. These three share their respective plight with one another and find solace in each others company. On one occasion, they play a harmless prank to tackle their problems. One thing leads to another, and before they realize, the incident becomes news. But things don’t stop there. They put their new founded fame to good use, and this in turn triggers off a series of incidents, which propel them to such heights that the three become the talk of the nation. Things get beyond their control, and the three are left with no choice but to be mute spectators to their newly acquired fame, especially since no one knows their identity. IN MOVIE NR Tusshar Kapoor"
tm52176,Welcome To Sajjanpur,MOVIE,"Mahadev (Shreyas Talpade) is an unemployed graduate with a Bachelor of Arts from Satna college, who is forced to make a living writing letters for the uneducated people of his village. His real ambition is to become a novel writer. Through his humble occupation, Mahadev has the potential to impact numerous lives. The movie is a satirical, but warm-hearted portrait of life in rural India.",2008,PG,134,comedy drama,IN,0.0,6.9,3239.0,1.439,5.6,Shreyas Talpade,"comedy drama Mahadev (Shreyas Talpade) is an unemployed graduate with a Bachelor of Arts from Satna college, who is forced to make a living writing letters for the uneducated people of his village. His real ambition is to become a novel writer. Through his humble occupation, Mahadev has the potential to impact numerous lives. The movie is a satirical, but warm-hearted portrait of life in rural India. IN MOVIE PG Shreyas Talpade"
